id  , node_mac           , timestamp , received_at                 , air_quality_ppm, temperature, humidity, noise_db, mq135_raw, sound_raw, hop_count, seq_num, rssi, recv_rssi, battery_pct, peer_count, node_state
(1  , '28:05:A5:32:43:64', 1773928294, '2026-03-19T13:51:56.997066',           47.24, 31.5       , 49.2    ,     52.5,       177,      1653,         1,     233, -49 , -52      ,         100,          2, 1)
(2  , '28:05:A5:32:43:64', 1773928304, '2026-03-19T13:51:57.033161',           46.74, 31.5       , 49.2    ,     52.5,       176,      1651,         1,     234, -53 , -54      ,         100,          2, 1)
(3  , '1C:C3:AB:B3:7F:08', 1773928307, '2026-03-19T13:52:01.466918',            6.1 , 32.2       , 50.9    ,     51.1,         0,      1406,         1,     243, -57 , -56      ,         100,          2, 1)
(4  , '1C:C3:AB:B3:7F:08', 1773928296, '2026-03-19T13:52:01.504304',            6.1 , 32.2       , 50.9    ,     51.1,         0,      1403,         1,     242, -66 , -67      ,         100,          2, 1)
(5  , '28:05:A5:32:43:64', 1773928314, '2026-03-19T13:52:01.535835',           46.74, 31.5       , 49.1    ,     52.5,       176,      1655,         1,     235, -59 , -55      ,         100,          2, 1)
(6  , '1C:C3:AB:B3:7F:08', 1773928317, '2026-03-19T13:52:01.572013',            6.1 , 32.2       , 50.8    ,     51.1,         0,      1406,         1,     244, -61 , -60      ,         100,          2, 1)
(7  , '28:05:A5:32:43:64', 1773928324, '2026-03-19T13:52:07.222988',           46.24, 31.6       , 49.1    ,     52.5,       175,      1650,         1,     236, -52 , -52      ,         100,          2, 1)
(8  , '1C:C3:AB:B3:7F:08', 1773928327, '2026-03-19T13:52:12.751905',            6.1 , 32.2       , 50.8    ,     51.1,         0,      1408,         1,     245, -56 , -58      ,         100,          2, 1)
(9  , '1C:C3:AB:B3:7F:08', 1773928327, '2026-03-19T13:52:18.077450',            6.1 , 32.2       , 50.8    ,     51.1,         0,      1408,         1,     245, -56 , -58      ,         100,          2, 1)
(10 , '28:05:A5:32:43:64', 1773928334, '2026-03-19T13:52:18.207510',           45.74, 31.6       , 49.1    ,     52.5,       174,      1655,         1,     237, -55 , -52      ,         100,          2, 1)
(11 , '1C:C3:AB:B3:7F:08', 1773928337, '2026-03-19T13:52:18.241294',            6.1 , 32.3       , 50.7    ,     51.1,         0,      1409,         1,     246, -61 , -60      ,         100,          2, 1)
(12 , '28:05:A5:32:43:64', 1773928344, '2026-03-19T13:52:25.142609',           45.25, 31.6       , 49.1    ,     52.5,       173,      1647,         1,     238, -55 , -55      ,         100,          2, 1)
(13 , '1C:C3:AB:B3:7F:08', 1773928347, '2026-03-19T13:52:27.908904',            6.1 , 32.3       , 50.7    ,     51.1,         0,      1410,         1,     247, -61 , -64      ,         100,          2, 1)
(14 , '28:05:A5:32:43:64', 1773928354, '2026-03-19T13:52:34.500333',           45.25, 31.6       , 49.1    ,     52.5,       172,      1652,         1,     239, -55 , -53      ,         100,          2, 1)
(15 , '1C:C3:AB:B3:7F:08', 1773928357, '2026-03-19T13:52:37.944003',            6.1 , 32.3       , 50.7    ,     51.1,         0,      1412,         1,     248, -66 , -67      ,         100,          2, 1)
(16 , '28:05:A5:32:43:64', 1773928364, '2026-03-19T13:52:45.114972',           44.28, 31.6       , 49.1    ,     52.5,       170,      1647,         1,     240, -52 , -52      ,         100,          2, 1)
(17 , '1C:C3:AB:B3:7F:08', 1773928367, '2026-03-19T13:52:59.448961',            6.1 , 32.3       , 50.7    ,     51.2,         0,      1415,         1,     249, -60 , -62      ,         100,          2, 1)
(18 , '28:05:A5:32:43:64', 1773928374, '2026-03-19T13:52:59.579421',           44.28, 31.6       , 49.0    ,     52.5,       170,      1643,         1,     241, -52 , -51      ,         100,          2, 1)
(19 , '1C:C3:AB:B3:7F:08', 1773928377, '2026-03-19T13:52:59.624472',            6.1 , 32.3       , 50.7    ,     51.2,         0,      1418,         1,     250, -61 , -65      ,         100,          2, 1)
(20 , '28:05:A5:32:43:64', 1773928384, '2026-03-19T13:53:05.295640',           43.33, 31.7       , 49.0    ,     52.4,       168,      1637,         1,     242, -51 , -52      ,         100,          2, 1)
(21 , '1C:C3:AB:B3:7F:08', 1773928387, '2026-03-19T13:53:13.065998',            6.1 , 32.3       , 50.7    ,     51.2,         0,      1419,         1,     251, -68 , -72      ,         100,          2, 1)
(22 , '1C:C3:AB:B3:7F:08', 1773928387, '2026-03-19T13:53:18.493667',            6.1 , 32.3       , 50.7    ,     51.2,         0,      1419,         1,     251, -68 , -72      ,         100,          2, 1)
(23 , '28:05:A5:32:43:64', 1773928394, '2026-03-19T13:53:18.616716',           43.33, 31.7       , 49.0    ,     52.5,       168,      1645,         1,     243, -51 , -54      ,         100,          2, 1)
(24 , '1C:C3:AB:B3:7F:08', 1773928397, '2026-03-19T13:53:18.652484',            6.1 , 32.3       , 50.7    ,     51.2,         0,      1421,         1,     252, -64 , -61      ,         100,          2, 1)
(25 , '28:05:A5:32:43:64', 1773928404, '2026-03-19T13:53:24.855418',           42.38, 31.7       , 49.0    ,     52.5,       165,      1642,         1,     244, -53 , -53      ,         100,          2, 1)
(26 , '1C:C3:AB:B3:7F:08', 1773928407, '2026-03-19T13:53:30.489729',            6.1 , 32.3       , 50.7    ,     51.2,         0,      1420,         1,     253, -71 , -71      ,         100,          2, 1)
(27 , '28:05:A5:32:43:64', 1773928414, '2026-03-19T13:53:58.020620',           42.38, 31.7       , 48.9    ,     52.4,       165,      1637,         1,     245, -54 , -53      ,         100,          2, 1)
(28 , '28:05:A5:32:43:64', 1773928424, '2026-03-19T13:53:58.242098',           41.46, 31.7       , 48.9    ,     52.4,       163,      1631,         1,     246, -53 , -53      ,         100,          2, 1)
(29 , '1C:C3:AB:B3:7F:08', 1773928427, '2026-03-19T13:53:58.279529',            6.1 , 32.3       , 50.7    ,     51.2,         0,      1423,         1,     255, -77 , -74      ,         100,          2, 1)
(30 , '1C:C3:AB:B3:7F:08', 1773928417, '2026-03-19T13:53:58.310834',            6.1 , 32.3       , 50.7    ,     51.2,         0,      1422,         1,     254, -71 , -77      ,         100,          2, 1)
